UnixTime*1000,NrFinished,NrQueued,VMNum,UsedCores,OnPMs,CentralRepoTX
302000,4,18,0,0,5,400000000
602000,16,33,10,20,12,2599999999
902000,76,13,36,100,28,11200000000
1202000,170,0,11,15,4,18099999999
1502000,184,14,10,29,9,19099999999
1802000,235,9,23,68,18,24094999999
2102000,306,6,12,31,13,31399999999
2402000,337,13,0,0,5,33199999999
2702000,337,29,12,36,12,34399999999
3002000,389,20,23,61,19,40699999999
3302000,462,11,24,65,24,48099999999
3602000,540,9,0,0,3,53399999999
3902000,540,32,0,0,9,53399999999
4202000,590,22,25,49,24,60899999999
4502000,685,3,12,34,12,69100000000
4802000,717,11,0,0,5,70900000000
5102000,717,30,18,48,16,71648749999
5402000,769,18,38,90,30,79899999999
5702000,890,0,5,9,4,88699999999
6002000,902,16,3,3,10,89699999999
6302000,949,4,29,83,23,95346249999
6602000,1022,5,13,52,13,102047499999
6902000,1069,5,4,6,5,106499999999
7202000,1077,22,2,4,12,107099999999
7502000,1121,12,28,76,21,113899999999
7802000,1208,1,13,33,12,121099999999
8102000,1240,9,8,20,13,123799999999
8402000,1287,9,14,44,22,128899999999
8702000,1338,12,0,0,8,132599999999
9002000,1342,20,14,50,16,134399999999
9302000,1426,0,25,59,21,143899999999
9602000,1476,10,1,2,8,146499999999
9902000,1492,12,21,43,14,149999999999
10202000,1540,14,15,43,22,154199999999
10502000,1626,0,5,7,4,161800000000
10802000,1629,23,2,4,10,161800000000
11102000,1660,24,21,58,19,166600000000
11402000,1749,0,22,61,20,175600000000
11702000,1805,5,19,49,16,180900000000
12002000,1846,13,10,40,10,184100000000
12302000,1887,8,12,31,18,188400000000
12602000,1954,0,8,8,2,194700000000
12902000,1972,12,0,0,7,195700000000
13202000,1972,34,0,0,14,195700000000
13502000,2009,35,24,54,20,201800000000
13802000,2098,16,31,71,27,211400000000
14102000,2194,4,8,16,6,218700000000
14402000,2204,21,3,4,13,219000000000
14702000,2250,6,29,63,20,226087500000
15002000,2322,0,28,66,21,233200000000
15302000,2378,1,9,11,5,236700000000
15602000,2388,20,0,0,10,236700000000
15902000,2405,27,24,72,20,240800000000
16202000,2488,0,41,107,35,250800000000
16502000,2558,8,1,2,2,253600000000
16802000,2570,21,0,0,9,254600000000
17102000,2603,21,22,50,21,259446250000
17402000,2694,0,25,63,26,269500000000
17702000,2734,5,10,20,6,272000000000
18002000,2750,22,11,33,14,273600000000
18302000,2799,9,20,44,20,279400000000
18602000,2869,0,24,67,20,286800000000
18902000,2919,7,2,4,6,289500000000
19202000,2928,21,14,32,12,291600000000
19502000,2999,11,19,60,22,299000000000
19802000,3051,7,1,2,5,302400000000
20102000,3057,28,13,39,13,304100000000
20402000,3159,0,13,21,12,314300000000
20702000,3194,4,21,46,16,318600000000
21002000,3243,4,14,24,18,322800000000
21302000,3298,0,7,8,4,327600000000
21602000,3307,19,8,32,9,328500000000
21902000,3338,29,13,21,15,332100000000
22202000,3386,19,21,54,25,337700000000
22502000,3483,0,23,60,22,347366250000
22802000,3532,9,3,5,9,350300000000
23102000,3539,26,15,55,15,352000000000
23402000,3609,13,9,24,23,358300000000
23702000,3686,1,6,6,2,365600000000
24002000,3696,19,0,0,8,366000000000
24302000,3715,23,19,46,17,369800000000
24602000,3781,3,43,110,34,378561500000
24902000,3866,7,5,9,7,383500000000
25202000,3878,17,8,23,16,384700000000
25502000,3950,1,24,62,19,393400000000
25802000,4002,6,4,11,6,396500000000
26102000,4007,26,13,39,13,397800000000
26402000,4065,16,18,53,28,404100000000
26702000,4138,3,26,62,20,412200000000
27002000,4207,3,5,5,3,416800000000
27302000,4212,20,7,21,9,417500000000
27602000,4265,2,32,83,29,425300000000
27902000,4337,0,18,51,16,431100000000
28202000,4368,13,1,2,10,432400000000
28502000,4388,19,20,62,19,436200000000
28802000,4467,0,19,42,14,444000000000
29102000,4515,6,3,4,8,447100000000
29402000,4519,23,19,49,16,449000000000
29702000,4591,0,32,83,21,457500000000
30002000,4625,16,0,0,14,457700000000
30302000,4674,8,33,90,25,464995000000
30602000,4744,8,3,9,6,469900000000
30902000,4768,15,14,34,14,473400000000
31202000,4842,0,17,34,12,481100000000
31502000,4876,2,20,56,14,484700000000
31802000,4929,0,16,36,14,489600000000
32102000,4977,10,0,0,9,492700000000
32402000,4990,16,23,49,15,496300000000
32702000,5052,10,24,60,21,502600000000
33002000,5125,4,2,2,2,507700000000
33302000,5127,20,0,0,8,507700000000
33602000,5146,21,30,71,21,512447500000
33902000,5245,1,25,58,21,522000000000
34202000,5282,15,2,4,10,523300000000
34502000,5298,21,16,36,19,526100000000
34802000,5385,4,21,71,23,535300000000
35102000,5438,0,19,51,17,540400000000
35402000,5466,15,1,1,8,541100000000
35702000,5467,36,0,0,14,541100000000
36002000,5523,26,14,36,22,548100000000
36302000,5590,7,31,69,28,556500000000
36602000,5688,0,3,9,4,563300000000
36902000,5692,20,0,0,8,563400000000
37202000,5705,23,26,52,17,566212000000
37502000,5776,19,16,45,30,573400000000
37802000,5850,9,0,0,7,579100000000
38102000,5850,26,16,48,16,580700000000
38402000,5942,0,31,75,24,590997500000
38702000,5977,20,0,0,9,591700000000
39002000,6005,17,21,66,21,596600000000
39302000,6099,0,10,13,5,604899999999
39602000,6111,25,0,0,10,604899999999
39902000,6111,37,18,50,18,606699999999
40202000,6196,14,36,91,36,617000000000
40502000,6284,3,6,12,8,622700000000
40802000,6300,17,15,33,15,624900000000
41102000,6359,9,13,35,23,630400000000
41402000,6419,4,24,59,22,637500000000
41702000,6468,3,23,53,19,641147500000
42002000,6518,9,2,4,5,645000000000
42302000,6529,19,17,47,12,647400000000
42602000,6598,5,29,69,26,655500000000
42902000,6675,3,10,33,12,661300000000
43202000,6699,11,9,17,16,663600000000
43502000,6754,0,22,58,15,670200000000
43802000,6814,0,14,28,9,675400000000
44102000,6850,4,21,55,17,679700000000
44402000,6902,5,4,4,1,683200000000
44702000,6910,22,0,0,10,683600000000
45002000,6932,26,23,57,19,688100000000
45302000,7030,0,27,62,18,698300000000
45602000,7058,15,2,4,14,698600000000
45902000,7084,19,25,59,20,703300000000
46202000,7172,8,13,35,15,710900000000
46502000,7229,7,16,39,18,716700000000
46802000,7263,12,4,8,9,718900000000
47102000,7272,20,23,53,17,721300000000
47402000,7361,8,20,50,27,729900000000
47702000,7421,10,0,0,9,733900000000
48002000,7442,15,14,22,16,737400000000
48302000,7500,15,23,59,22,744100000000
48602000,7579,7,4,8,9,750100000000
48902000,7587,21,15,43,18,751600000000
49202000,7669,2,29,80,28,761200000000
49502000,7729,7,14,36,13,765600000000
49802000,7779,0,26,60,21,771800000000
50102000,7832,5,8,18,12,775300000000
50402000,7869,2,20,42,14,780200000000
50702000,7887,16,25,59,19,782500000000
51002000,7971,9,16,45,21,789800000000
51302000,8017,16,1,2,4,792800000000
51602000,8030,28,9,25,15,794800000000
51902000,8093,17,24,60,27,802600000000
52202000,8171,4,21,71,19,810100000000
52502000,8216,10,2,4,4,812700000000
52802000,8241,17,11,20,10,815900000000
53102000,8274,20,23,58,24,820300000000
53402000,8376,0,19,44,16,830100000000
53702000,8420,11,2,4,6,832700000000
54002000,8444,15,7,9,17,835600000000
54302000,8479,7,25,66,26,840700000000
54602000,8559,0,15,28,8,847700000000
54902000,8577,21,0,0,10,847800000000
55202000,8625,9,27,61,23,855300000000
55502000,8701,0,19,47,16,862100000000
55802000,8735,6,0,0,4,863400000000
56102000,8745,23,0,0,10,864400000000
56402000,8773,22,20,54,19,869200000000
56702000,8838,4,31,74,29,876800000000
57002000,8916,0,17,39,15,883200000000
57302000,8943,13,8,20,8,884800000000
57602000,8980,12,25,65,19,890200000000
57902000,9053,5,11,26,15,896100000000
58202000,9090,3,24,60,20,901000000000
58502000,9142,5,3,5,4,904000000000
58802000,9146,26,12,45,13,905100000000
59102000,9235,6,12,33,23,914000000000
59402000,9273,19,0,0,11,916600000000
59702000,9317,13,14,32,17,922400000000
60002000,9399,6,1,1,4,929300000000
60302000,9400,28,0,0,12,929300000000
60602000,9423,29,26,60,21,934200000000
60902000,9520,0,32,77,26,944400000000
61202000,9559,7,20,51,18,947100000000
61502000,9625,5,7,10,7,952300000000
61802000,9645,16,19,44,14,954492500000
62102000,9704,6,27,66,23,961900000000
62402000,9759,11,7,21,7,965300000000
62702000,9805,22,1,1,14,969100000000
63002000,9862,2,23,58,21,977000000000
63302000,9911,10,0,0,3,979500000000
63602000,9924,15,18,34,15,982600000000
63902000,9999,2,26,64,23,990900000000
64202000,10061,1,11,19,9,995600000000
64502000,10095,4,17,41,18,999600000000
64802000,10152,5,8,22,8,1004400000000
65102000,10161,28,13,39,13,1005700000000
